iter	MultiClass
0	1.179431721
1	1.032919812
2	0.9203867942
3	0.8304756825
4	0.7563343393
5	0.6947808742
6	0.6420548941
7	0.5971138599
8	0.5562327316
9	0.5216194045
10	0.4911458621
11	0.4638399334
12	0.4393996037
13	0.4177793884
14	0.3980823451
15	0.3804179062
16	0.3646527685
17	0.3501016858
18	0.3368326856
19	0.3242244467
20	0.3140659433
21	0.3048166034
22	0.2949724619
23	0.2880693214
24	0.280663323
25	0.2743073262
26	0.2674301691
27	0.2615492566
28	0.2563491961
29	0.2524208986
30	0.249262103
31	0.2451191463
32	0.2417777831
33	0.2382782448
34	0.2351929006
35	0.2323733308
36	0.2290949465
37	0.2264283276
38	0.2237051869
39	0.2217172198
40	0.2195242677
41	0.2175338589
42	0.2160896935
43	0.2145116625
44	0.2131573811
45	0.2117831548
46	0.2101828659
47	0.2088597333
48	0.2072542635
49	0.2056123633
50	0.2044302251
51	0.2030794287
52	0.2018955511
53	0.2002944844
54	0.1992000794
55	0.1979048828
56	0.1969859655
57	0.1954028068
58	0.1942940839
59	0.1929738139
60	0.1923701276
61	0.191284698
62	0.1902671404
63	0.1893088814
64	0.1888624269
65	0.188008014
66	0.1870342767
67	0.1860152654
68	0.1848880569
69	0.184061817
70	0.183236738
71	0.1825228252
72	0.1821060484
73	0.181490256
74	0.1805903233
75	0.1797340267
76	0.1791163879
77	0.1785794929
78	0.1779500016
79	0.1773583237
80	0.1766912926
81	0.1761814167
82	0.175543072
83	0.1748813533
84	0.1737703191
85	0.1733381551
86	0.172908979
87	0.1724393886
88	0.172041119
89	0.1716842855
90	0.171189795
91	0.170765003
92	0.1701322425
93	0.1695736196
94	0.168887163
95	0.1683728873
96	0.1677870053
97	0.1670687736
98	0.1667774015
99	0.1661314945
100	0.1652753812
101	0.1646785266
102	0.1642245542
103	0.1638761379
104	0.1636005313
105	0.1627099365
106	0.1623418354
107	0.1620083086
108	0.1617377074
109	0.1613934181
110	0.1610736826
111	0.1604633652
112	0.1600133623
113	0.1595565377
114	0.1591032083
115	0.1586794055
116	0.1583519526
117	0.1579848826
118	0.1576171131
119	0.1571157285
120	0.1567644684
121	0.1564883013
122	0.156037089
123	0.1559158744
124	0.1555856337
125	0.1553502414
126	0.1549872738
127	0.154505733
128	0.1542139618
129	0.1537547879
130	0.1534213485
131	0.1531534675
132	0.1529358162
133	0.1525955815
134	0.1518494556
135	0.1514998374
136	0.1512272019
137	0.1509047445
138	0.1504347777
139	0.1501296505
140	0.1498310581
141	0.1493240963
142	0.1491147732
143	0.1487592862
144	0.1484045182
145	0.1480614459
146	0.147783348
147	0.1473836894
148	0.1472388446
149	0.1470287568
150	0.1466462204
151	0.1461184957
152	0.1458797704
153	0.1453843593
154	0.145194059
155	0.1449853664
156	0.1445384587
157	0.1442080918
158	0.14388897
159	0.1437110851
160	0.1433912808
161	0.14321155
162	0.1427261439
163	0.1424471346
164	0.1421142276
165	0.1419047946
166	0.1416941581
167	0.1412756762
168	0.1409950584
169	0.1405563295
170	0.1402920209
171	0.1399645023
172	0.1397831624
173	0.1392179052
174	0.1388932948
175	0.1386309515
176	0.1383517829
177	0.138047262
178	0.1378387658
179	0.1376441151
180	0.137378716
181	0.1371971063
182	0.1369368371
183	0.1366559647
184	0.1363933216
185	0.1358504155
186	0.1355774334
187	0.1351751993
188	0.1347861587
189	0.1345919218
190	0.134370676
191	0.1342279049
192	0.1338577146
193	0.133616869
194	0.1333639213
195	0.1332044765
196	0.1328671183
197	0.1326462333
198	0.1324097856
199	0.1321291188
200	0.1319369153
201	0.131649152
202	0.1313843072
203	0.1312062248
204	0.1310494796
205	0.130792482
206	0.130484046
207	0.1302679561
208	0.129917185
209	0.1296798271
210	0.129475114
211	0.129179167
212	0.1287381035
213	0.1285224373
214	0.1282563786
