iter	Passed	Remaining
0	140	139925
1	149	74550
2	157	52233
3	164	40903
4	170	33883
5	176	29216
6	182	25894
7	188	23382
8	199	21960
9	209	20704
10	217	19535
11	224	18516
12	234	17826
13	278	19637
14	299	19635
15	310	19066
16	316	18279
17	325	17746
18	331	17121
19	341	16737
20	348	16228
21	360	16007
22	377	16017
23	382	15561
24	391	15258
25	397	14874
26	406	14651
27	412	14315
28	419	14040
29	425	13771
30	433	13540
31	444	13437
32	452	13256
33	460	13093
34	470	12963
35	476	12759
36	484	12599
37	490	12409
38	494	12196
39	504	12099
40	508	11898
41	517	11794
42	521	11616
43	526	11436
44	534	11348
45	540	11208
46	566	11479
47	575	11407
48	586	11391
49	600	11411
50	614	11434
51	641	11690
52	652	11659
53	667	11687
54	678	11651
55	687	11584
56	695	11503
57	701	11392
58	708	11301
59	714	11197
60	721	11109
61	729	11033
62	736	10954
63	743	10877
64	751	10812
65	759	10743
66	766	10671
67	774	10613
68	781	10541
69	788	10482
70	795	10409
71	803	10360
72	810	10298
73	819	10258
74	827	10206
75	836	10175
76	844	10122
77	853	10083
78	859	10023
79	867	9980
80	874	9926
81	882	9884
82	889	9831
83	897	9790
84	904	9741
85	912	9701
86	920	9658
87	928	9622
88	935	9578
89	942	9532
90	951	9500
91	959	9468
92	968	9441
93	1016	9800
94	1029	9803
95	1046	9855
96	1055	9825
97	1066	9813
98	1077	9809
99	1086	9774
100	1098	9777
101	1108	9763
102	1116	9726
103	1126	9705
104	1134	9668
105	1150	9707
106	1162	9703
107	1171	9674
108	1179	9644
109	1189	9625
110	1197	9588
111	1206	9568
112	1214	9529
113	1223	9507
114	1230	9469
115	1241	9459
116	1248	9425
117	1258	9406
118	1272	9417
119	1287	9442
120	1305	9485
121	1324	9533
122	1338	9541
123	1349	9533
124	1358	9509
125	1370	9506
126	1385	9525
127	1398	9530
128	1405	9491
129	1416	9477
130	1423	9445
131	1435	9436
132	1446	9428
133	1456	9411
134	1466	9399
135	1474	9364
136	1483	9342
137	1491	9317
138	1498	9284
139	1506	9254
140	1516	9236
141	1526	9221
142	1533	9188
143	1545	9184
144	1555	9172
145	1563	9147
146	1572	9123
147	1580	9099
148	1590	9084
149	1597	9054
150	1608	9044
151	1615	9013
152	1624	8995
153	1630	8958
154	1640	8944
155	1646	8909
156	1658	8902
157	1664	8869
158	1676	8869
159	1690	8876
160	1700	8861
161	1706	8829
162	1714	8803
163	1723	8785
164	1731	8760
165	1739	8741
166	1748	8723
167	1756	8697
168	1767	8691
169	1774	8664
170	1785	8655
171	1792	8627
172	1802	8615
173	1811	8599
174	1820	8581
175	1832	8578
176	1842	8566
177	1851	8549
178	1863	8548
179	1873	8534
180	1882	8518
181	1895	8519
182	1902	8493
183	1913	8485
184	1921	8462
185	1929	8446
186	1940	8438
187	1948	8413
188	1957	8398
189	1963	8369
190	1973	8359
191	1980	8334
192	1990	8324
193	1997	8300
194	2008	8291
195	2014	8262
196	2024	8253
197	2031	8227
198	2041	8218
199	2050	8201
200	2060	8190
201	2069	8176
202	2076	8152
203	2086	8142
204	2093	8119
205	2104	8111
206	2114	8099
207	2122	8080
208	2131	8066
209	2138	8044
210	2146	8028
211	2154	8008
212	2164	7999
213	2171	7975
214	2181	7964
215	2187	7939
216	2197	7927
217	2203	7903
218	2212	7890
219	2218	7867
